batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_repeated_20x10_1024kb_r1_20260705T045651Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw1,1,8.178013826000097,24.455815831974558,2.445581583197456,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,7.559756097560975,30.0,40.62109375,70.69921875,0,1,1
batch_repeated_20x10_1024kb_r2_20260705T045659Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw1,2,6.049382546999368,33.06122541369194,3.306122541369194,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,10.157377049180328,39.9,20.296875,76.28125,0,1,1
batch_repeated_20x10_1024kb_r3_20260705T045706Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw1,3,3.5109670410001854,56.964362713876426,5.696436271387642,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,16.557142857142857,40.0,20.08203125,76.3125,0,1,1
batch_repeated_20x10_1024kb_r4_20260705T045709Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw1,4,3.2730238310005006,61.10557402781386,6.110557402781386,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,16.657575757575756,40.0,20.08203125,76.33203125,0,1,1
batch_repeated_20x10_1024kb_r5_20260705T045713Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw1,5,3.7573145650003426,53.22950648396983,5.322950648396983,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,14.978947368421052,39.9,20.0859375,76.34765625,0,1,1
