batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_random_20x10_1024kb_r1_20260705T074225Z,random,20,10,200,1024,ray,ray_random_10mb_uw1_rw4,1,9.686195335999997,20.647942051785197,2.06479420517852,200,200,0,209715200,209715200,0,0.0,1.0,20,0,5.873195876288659,40.0,40.64453125,70.9609375,4,1,1
batch_random_20x10_1024kb_r2_20260705T074235Z,random,20,10,200,1024,ray,ray_random_10mb_uw1_rw4,2,4.441891543999986,45.02586297275894,4.502586297275894,200,200,0,209715200,209715200,0,0.0,1.0,20,0,14.655555555555555,40.0,20.30859375,76.3984375,4,1,1
batch_random_20x10_1024kb_r3_20260705T074240Z,random,20,10,200,1024,ray,ray_random_10mb_uw1_rw4,3,4.389640842000006,45.56181409795616,4.556181409795616,200,200,0,209715200,209715200,0,0.0,1.0,20,0,14.290909090909091,50.0,20.09375,76.42578125,4,1,1
batch_random_20x10_1024kb_r4_20260705T074245Z,random,20,10,200,1024,ray,ray_random_10mb_uw1_rw4,4,4.171684732000017,47.94226142398701,4.794226142398701,200,200,0,209715200,209715200,0,0.0,1.0,20,0,14.519047619047619,39.9,20.03515625,76.421875,4,1,1
batch_random_20x10_1024kb_r5_20260705T074250Z,random,20,10,200,1024,ray,ray_random_10mb_uw1_rw4,5,10.955069823999992,18.256387518575814,1.8256387518575814,200,200,0,209715200,209715200,0,0.0,1.0,20,0,5.997272727272727,49.9,20.0625,76.46875,4,1,1
