batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_repeated_20x50_1024kb_r1_20260705T050137Z,repeated,20,50,1000,1024,numpy,numpy_repeated_50mb_uw2,1,18.715452869999353,53.43178211856086,1.0686356423712173,1000,1,999,1048576000,1048576,1047527424,99.9,1000.0,20,0,14.89516129032258,89.8,1.546875,180.6640625,0,2,2
batch_repeated_20x50_1024kb_r2_20260705T050157Z,repeated,20,50,1000,1024,numpy,numpy_repeated_50mb_uw2,2,27.42115976599962,36.46818765265838,0.7293637530531676,1000,1,999,1048576000,1048576,1047527424,99.9,1000.0,20,0,11.025274725274725,89.9,0.37890625,136.50390625,0,2,2
batch_repeated_20x50_1024kb_r3_20260705T050227Z,repeated,20,50,1000,1024,numpy,numpy_repeated_50mb_uw2,3,22.86183878799966,43.7410135410852,0.8748202708217041,1000,1,999,1048576000,1048576,1047527424,99.9,1000.0,20,0,14.70921052631579,99.8,0.03515625,136.88671875,0,2,2
batch_repeated_20x50_1024kb_r4_20260705T050253Z,repeated,20,50,1000,1024,numpy,numpy_repeated_50mb_uw2,4,24.227326304999224,41.27570609364573,0.8255141218729146,1000,1,999,1048576000,1048576,1047527424,99.9,1000.0,20,0,13.048132780082987,109.8,0.0234375,186.921875,0,2,2
batch_repeated_20x50_1024kb_r5_20260705T050320Z,repeated,20,50,1000,1024,numpy,numpy_repeated_50mb_uw2,5,24.83222939299958,40.27024654829859,0.8054049309659718,1000,1,999,1048576000,1048576,1047527424,99.9,1000.0,20,0,13.273279352226721,99.8,0.02734375,136.93359375,0,2,2
