batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_random_20x10_1024kb_r1_20260705T074327Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw2,1,11.691177091999975,17.106917329723434,1.7106917329723434,200,200,0,209715200,209715200,0,0.0,1.0,20,0,5.635897435897435,40.0,40.8828125,100.46875,2,2,2
batch_random_20x10_1024kb_r2_20260705T074340Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw2,2,9.691418478000003,20.636813945658197,2.06368139456582,200,200,0,209715200,209715200,0,0.0,1.0,20,0,7.009278350515464,40.0,40.29296875,96.51953125,2,2,2
batch_random_20x10_1024kb_r3_20260705T074350Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw2,3,8.372862841000028,23.886692496698373,2.3886692496698374,200,200,0,209715200,209715200,0,0.0,1.0,20,0,8.089285714285714,39.9,20.09765625,96.5546875,2,2,2
batch_random_20x10_1024kb_r4_20260705T074359Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw2,4,8.733108507999987,22.901352916523308,2.2901352916523305,200,200,0,209715200,209715200,0,0.0,1.0,20,0,7.816091954022989,40.0,20.05078125,96.5703125,2,2,2
batch_random_20x10_1024kb_r5_20260705T074408Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw2,5,7.732318765999992,25.865462360324038,2.5865462360324036,200,200,0,209715200,209715200,0,0.0,1.0,20,0,8.563636363636364,40.0,20.078125,96.59765625,2,2,2
