batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_random_20x100_1024kb_r1_20260705T081302Z,random,20,100,2000,1024,ray,ray_random_100mb_uw2_rw2,1,106.41279716399981,18.79473196177399,0.18794731961773992,2000,2000,0,2097152000,2097152000,0,0.0,1.0,20,0,5.983364839319471,149.1,2.44921875,330.03515625,2,2,2
batch_random_20x100_1024kb_r2_20260705T081457Z,random,20,100,2000,1024,ray,ray_random_100mb_uw2_rw2,2,89.97135189299979,22.22929808122189,0.22229298081221893,2000,2000,0,2097152000,2097152000,0,0.0,1.0,20,0,8.285939257592801,109.9,-3.0390625,331.8828125,2,2,2
batch_random_20x100_1024kb_r3_20260705T081641Z,random,20,100,2000,1024,ray,ray_random_100mb_uw2_rw2,3,69.7314860929996,28.681448109862977,0.2868144810986298,2000,2000,0,2097152000,2097152000,0,0.0,1.0,20,0,11.504354136429608,137.6,-0.3203125,329.8203125,2,2,2
