batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_repeated_20x10_1024kb_r1_20260705T040558Z,repeated,20,10,200,1024,sequential,sequential_repeated_10mb_uw2,1,3.0844872279999436,64.84059917138475,6.484059917138476,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,19.316129032258065,39.9,60.75390625,90.8671875,0,2,2
batch_repeated_20x10_1024kb_r2_20260705T040601Z,repeated,20,10,200,1024,sequential,sequential_repeated_10mb_uw2,2,3.2287515930001973,61.943446015974686,6.194344601597469,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,16.645454545454545,40.0,20.3203125,96.0,0,2,2
batch_repeated_20x10_1024kb_r3_20260705T040605Z,repeated,20,10,200,1024,sequential,sequential_repeated_10mb_uw2,3,3.1208468650002033,64.08516939519458,6.408516939519458,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,16.86875,40.0,20.1015625,96.0390625,0,2,2
batch_repeated_20x10_1024kb_r4_20260705T040608Z,repeated,20,10,200,1024,sequential,sequential_repeated_10mb_uw2,4,3.31021513099995,60.419033834693394,6.041903383469339,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,18.163636363636364,39.7,20.06640625,96.0703125,0,2,2
batch_repeated_20x10_1024kb_r5_20260705T040612Z,repeated,20,10,200,1024,sequential,sequential_repeated_10mb_uw2,5,3.3850856459998795,59.08270008953479,5.908270008953479,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,18.78529411764706,40.0,20.0703125,96.08984375,0,2,2
