batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_random_20x50_1024kb_r1_20260705T075501Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw2,1,74.31531233600003,13.456177045703907,0.26912354091407814,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,4.188092016238159,99.8,1.16015625,180.62890625,2,2,2
batch_random_20x50_1024kb_r2_20260705T075618Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw2,2,45.77962521299992,21.843778653653825,0.4368755730730765,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,8.276043956043956,89.9,-1.84765625,170.13671875,2,2,2
batch_random_20x50_1024kb_r3_20260705T075709Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw2,3,43.66589957999986,22.901165660583953,0.45802331321167905,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,7.928801843317973,89.9,0.0703125,132.5859375,2,2,2
batch_random_20x50_1024kb_r4_20260705T075756Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw2,4,28.278125846999956,35.363022479302344,0.7072604495860468,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,11.401779359430606,89.9,-0.06640625,132.4140625,2,2,2
batch_random_20x50_1024kb_r5_20260705T075828Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw2,5,29.407836579000104,34.004541521224716,0.6800908304244943,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,11.82901023890785,99.9,0.01171875,132.2890625,2,2,2
