batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_random_20x50_1024kb_r1_20260705T075926Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw4,1,41.27532456200015,24.22755025215824,0.48455100504316484,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,7.587041564792176,149.9,-5.37890625,130.1171875,4,2,2
batch_random_20x50_1024kb_r2_20260705T080010Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw4,2,32.97995976600009,30.321443903971232,0.6064288780794246,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,10.70640243902439,89.9,-3.91015625,128.69140625,4,2,2
batch_random_20x50_1024kb_r3_20260705T080047Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw4,3,19.971888713999988,50.07037713458794,1.0014075426917588,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,18.848241206030153,89.9,-2.7265625,126.68359375,4,2,2
batch_random_20x50_1024kb_r4_20260705T080110Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw4,4,29.566900126999826,33.82160441928853,0.6764320883857706,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,11.747278911564626,89.9,0.0234375,126.1328125,4,2,2
batch_random_20x50_1024kb_r5_20260705T080143Z,random,20,50,1000,1024,ray,ray_random_50mb_uw2_rw4,5,36.52905277400009,27.375470319114317,0.5475094063822863,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,10.042582417582418,99.7,0.0234375,126.1484375,4,2,2
