batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_random_20x100_1024kb_r1_20260705T080809Z,random,20,100,2000,1024,ray,ray_random_100mb_uw1_rw4,1,92.12207425899987,21.71032313468137,0.2171032313468137,2000,2000,0,2097152000,2097152000,0,0.0,1.0,20,0,6.2721615720524015,109.9,2.38671875,212.65625,4,1,1
batch_random_20x100_1024kb_r2_20260705T080948Z,random,20,100,2000,1024,ray,ray_random_100mb_uw1_rw4,2,72.68355453200002,27.51654088573049,0.2751654088573049,2000,2000,0,2097152000,2097152000,0,0.0,1.0,20,0,8.036514522821577,109.8,0.60546875,236.6796875,4,1,1
batch_random_20x100_1024kb_r3_20260705T081110Z,random,20,100,2000,1024,ray,ray_random_100mb_uw1_rw4,3,80.95725336700002,24.704395428702185,0.24704395428702186,2000,2000,0,2097152000,2097152000,0,0.0,1.0,20,0,7.5941542288557216,99.9,0.0390625,231.41796875,4,1,1
