batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_repeated_20x100_1024kb_r1_20260705T050723Z,repeated,20,100,2000,1024,numpy,numpy_repeated_100mb_uw2,1,34.88633543300057,57.32903657482205,0.5732903657482205,2000,1,1999,2097152000,1048576,2096103424,99.95,2000.0,20,0,16.351008645533142,139.6,2.48828125,230.6328125,0,2,2
batch_repeated_20x100_1024kb_r2_20260705T050805Z,repeated,20,100,2000,1024,numpy,numpy_repeated_100mb_uw2,2,30.118350152000858,66.40469978954454,0.6640469978954454,2000,1,1999,2097152000,1048576,2096103424,99.95,2000.0,20,0,18.548829431438126,99.8,0.39453125,237.21484375,0,2,2
batch_repeated_20x100_1024kb_r3_20260705T050844Z,repeated,20,100,2000,1024,numpy,numpy_repeated_100mb_uw2,3,25.459440994999568,78.55632024256995,0.7855632024256995,2000,1,1999,2097152000,1048576,2096103424,99.95,2000.0,20,0,21.38695652173913,99.9,0.0390625,337.61328125,0,2,2
