batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_mixed_20x10_1024kb_r1_20260705T043023Z,mixed,20,10,200,1024,sequential,sequential_mixed_10mb_uw2,1,9.979025843000272,20.042036481976726,2.0042036481976724,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,7.593,40.0,20.9375,100.63671875,0,2,2
batch_mixed_20x10_1024kb_r2_20260705T043033Z,mixed,20,10,200,1024,sequential,sequential_mixed_10mb_uw2,2,5.2679049739999755,37.965756973049174,3.7965756973049176,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,12.624528301886793,40.0,2.2265625,97.9375,0,2,2
batch_mixed_20x10_1024kb_r3_20260705T043039Z,mixed,20,10,200,1024,sequential,sequential_mixed_10mb_uw2,3,3.3139402040001187,60.351119117535184,6.035111911753518,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,19.691176470588236,39.9,0.0390625,98.15625,0,2,2
batch_mixed_20x10_1024kb_r4_20260705T043043Z,mixed,20,10,200,1024,sequential,sequential_mixed_10mb_uw2,4,3.320292697000241,60.235653374984814,6.023565337498482,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,19.985294117647058,50.0,0.01953125,98.203125,0,2,2
batch_mixed_20x10_1024kb_r5_20260705T043047Z,mixed,20,10,200,1024,sequential,sequential_mixed_10mb_uw2,5,3.129182785000012,63.914451069690145,6.391445106969015,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,20.615625,40.0,0.01953125,98.21484375,0,2,2
