batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_random_20x10_1024kb_r1_20260705T074436Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw4,1,18.606301763999966,10.749046346596723,1.0749046346596722,200,200,0,209715200,209715200,0,0.0,1.0,20,0,3.545698924731183,30.0,60.71875,90.671875,4,2,2
batch_random_20x10_1024kb_r2_20260705T074455Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw4,2,4.267433439000001,46.86657750117516,4.686657750117516,200,200,0,209715200,209715200,0,0.0,1.0,20,0,15.104651162790697,30.0,20.29296875,96.39453125,4,2,2
batch_random_20x10_1024kb_r3_20260705T074500Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw4,3,3.814308572000016,52.43414270889229,5.243414270889229,200,200,0,209715200,209715200,0,0.0,1.0,20,0,17.589473684210525,40.0,20.10546875,96.43359375,4,2,2
batch_random_20x10_1024kb_r4_20260705T074504Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw4,4,3.7813311479999925,52.891426900228836,5.289142690022884,200,200,0,209715200,209715200,0,0.0,1.0,20,0,17.58684210526316,40.0,20.0546875,96.4453125,4,2,2
batch_random_20x10_1024kb_r5_20260705T074509Z,random,20,10,200,1024,ray,ray_random_10mb_uw2_rw4,5,3.6288490129999786,55.113894042855065,5.511389404285507,200,200,0,209715200,209715200,0,0.0,1.0,20,0,17.508108108108107,40.0,20.07421875,96.48828125,4,2,2
