batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_repeated_20x10_1024kb_r1_20260705T045746Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw2,1,3.3857630190004784,59.070879703518834,5.907087970351883,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,19.96764705882353,40.0,60.69140625,90.91796875,0,2,2
batch_repeated_20x10_1024kb_r2_20260705T045750Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw2,2,3.2550657530000535,61.44269123155765,6.144269123155765,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,18.412121212121214,40.0,20.3046875,96.265625,0,2,2
batch_repeated_20x10_1024kb_r3_20260705T045753Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw2,3,3.2341309670000555,61.84041464020173,6.184041464020172,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,18.175757575757576,40.0,20.0859375,96.30078125,0,2,2
batch_repeated_20x10_1024kb_r4_20260705T045757Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw2,4,3.0470820040000035,65.63656630752094,6.563656630752093,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,19.309677419354838,40.0,20.015625,96.296875,0,2,2
batch_repeated_20x10_1024kb_r5_20260705T045800Z,repeated,20,10,200,1024,numpy,numpy_repeated_10mb_uw2,5,8.53660149299958,23.428527167867628,2.3428527167867625,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,7.643529411764706,30.0,20.0703125,96.33984375,0,2,2
