batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_mixed_20x100_1024kb_r1_20260705T053314Z,mixed,20,100,2000,1024,numpy,numpy_mixed_100mb_uw2,1,29.59898063499986,67.5698945400526,0.6756989454005261,2000,1000,1000,2097152000,1048576000,1048576000,50.0,2.0,20,0,17.550680272108846,134.5,2.4609375,230.5625,0,2,2
batch_mixed_20x100_1024kb_r2_20260705T053355Z,mixed,20,100,2000,1024,numpy,numpy_mixed_100mb_uw2,2,37.97835323400068,52.66157770657288,0.5266157770657287,2000,1000,1000,2097152000,1048576000,1048576000,50.0,2.0,20,0,14.894429708222813,109.8,0.43359375,237.21875,0,2,2
batch_mixed_20x100_1024kb_r3_20260705T053444Z,mixed,20,100,2000,1024,numpy,numpy_mixed_100mb_uw2,3,38.89560874400013,51.419686298353966,0.5141968629835396,2000,1000,1000,2097152000,1048576000,1048576000,50.0,2.0,20,0,15.95142118863049,109.9,0.06640625,337.62890625,0,2,2
