batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_repeated_20x100_1024kb_r1_20260705T041200Z,repeated,20,100,2000,1024,sequential,sequential_repeated_100mb_uw1,1,37.66804740099997,53.0953988325635,0.5309539883256349,2000,1,1999,2097152000,1048576,2096103424,99.95,2000.0,20,0,12.991978609625669,109.9,2.3125,231.453125,0,1,1
batch_repeated_20x100_1024kb_r2_20260705T041245Z,repeated,20,100,2000,1024,sequential,sequential_repeated_100mb_uw1,2,45.75661566500003,43.70952639160838,0.4370952639160838,2000,1,1999,2097152000,1048576,2096103424,99.95,2000.0,20,0,12.44625550660793,99.9,0.3984375,237.1640625,0,1,1
batch_repeated_20x100_1024kb_r3_20260705T041339Z,repeated,20,100,2000,1024,sequential,sequential_repeated_100mb_uw1,3,37.171120497000175,53.80521149911007,0.5380521149911007,2000,1,1999,2097152000,1048576,2096103424,99.95,2000.0,20,0,14.968378378378379,109.8,0.0390625,237.5625,0,1,1
