batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_random_20x50_1024kb_r1_20260705T044737Z,random,20,50,1000,1024,numpy,numpy_random_50mb_uw2,1,31.204256448000706,32.04691006390159,0.6409382012780319,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,8.084887459807074,89.9,1.5859375,130.47265625,0,2,2
batch_random_20x50_1024kb_r2_20260705T044811Z,random,20,50,1000,1024,numpy,numpy_random_50mb_uw2,2,26.76092265599982,37.36791936715228,0.7473583873430456,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,11.063909774436091,99.8,0.53515625,136.44921875,0,2,2
batch_random_20x50_1024kb_r3_20260705T044841Z,random,20,50,1000,1024,numpy,numpy_random_50mb_uw2,3,13.645563807000144,73.28389021837282,1.4656778043674563,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,21.94338235294118,89.9,0.0546875,136.9921875,0,2,2
batch_random_20x50_1024kb_r4_20260705T044857Z,random,20,50,1000,1024,numpy,numpy_random_50mb_uw2,4,26.15284732100008,38.236754404826314,0.7647350880965263,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,11.166538461538462,79.9,0.01953125,187.03515625,0,2,2
batch_random_20x50_1024kb_r5_20260705T044926Z,random,20,50,1000,1024,numpy,numpy_random_50mb_uw2,5,27.324758594999366,36.596846648189874,0.7319369329637975,1000,1000,0,1048576000,1048576000,0,0.0,1.0,20,0,10.945588235294117,99.9,0.01953125,137.05859375,0,2,2
