batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_modified_20x100_1024kb_r1_20260705T042415Z,modified,20,100,2000,1024,sequential,sequential_modified_100mb_uw1,1,32.414891606999845,61.700036645135945,0.6170003664513595,2000,16,1984,2097152000,16777216,2080374784,99.2,125.0,20,0,15.24984520123839,109.7,2.30859375,195.94921875,0,1,1
batch_modified_20x100_1024kb_r2_20260705T042455Z,modified,20,100,2000,1024,sequential,sequential_modified_100mb_uw1,2,37.88737672199977,52.7880305536877,0.5278803055368769,2000,16,1984,2097152000,16777216,2080374784,99.2,125.0,20,0,13.318302387267904,99.9,0.3984375,237.578125,0,1,1
batch_modified_20x100_1024kb_r3_20260705T042536Z,modified,20,100,2000,1024,sequential,sequential_modified_100mb_uw1,3,38.028362200000174,52.59232541968349,0.5259232541968349,2000,16,1984,2097152000,16777216,2080374784,99.2,125.0,20,0,13.452645502645503,109.9,0.0625,211.171875,0,1,1
