batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_modified_20x50_1024kb_r1_20260705T041852Z,modified,20,50,1000,1024,sequential,sequential_modified_50mb_uw1,1,25.884667945000274,38.632908180425545,0.7726581636085109,1000,10,990,1048576000,10485760,1038090240,99.0,100.0,20,0,10.166279069767443,89.8,1.43359375,130.55859375,0,1,1
batch_modified_20x50_1024kb_r2_20260705T041920Z,modified,20,50,1000,1024,sequential,sequential_modified_50mb_uw1,2,25.95640858500019,38.526131098810204,0.7705226219762041,1000,10,990,1048576000,10485760,1038090240,99.0,100.0,20,0,11.262548262548263,99.9,0.37109375,107.26171875,0,1,1
batch_modified_20x50_1024kb_r3_20260705T041947Z,modified,20,50,1000,1024,sequential,sequential_modified_50mb_uw1,3,27.328563566999946,36.59175124767735,0.7318350249535469,1000,10,990,1048576000,10485760,1038090240,99.0,100.0,20,0,10.547426470588235,89.9,0.0546875,121.69140625,0,1,1
batch_modified_20x50_1024kb_r4_20260705T042016Z,modified,20,50,1000,1024,sequential,sequential_modified_50mb_uw1,4,24.25703982899995,41.225145650479284,0.8245029130095857,1000,10,990,1048576000,10485760,1038090240,99.0,100.0,20,0,12.678512396694215,99.9,0.00390625,135.25,0,1,1
batch_modified_20x50_1024kb_r5_20260705T042042Z,modified,20,50,1000,1024,sequential,sequential_modified_50mb_uw1,5,25.840012907000073,38.69967107211078,0.7739934214422157,1000,10,990,1048576000,10485760,1038090240,99.0,100.0,20,0,11.795719844357977,99.7,0.0078125,137.08203125,0,1,1
