batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_random_20x100_1024kb_r1_20260705T054406Z,random,20,100,2000,1024,cython,cython_random_100mb_uw1,1,58.60717648999889,34.1255136278625,0.341255136278625,2000,2000,0,2097152000,2097152000,0,0.0,1.0,20,0,8.64640410958904,99.9,2.4296875,230.46484375,0,1,1
batch_random_20x100_1024kb_r2_20260705T054515Z,random,20,100,2000,1024,cython,cython_random_100mb_uw1,2,63.21751146000133,31.636803692683,0.31636803692683,2000,2000,0,2097152000,2097152000,0,0.0,1.0,20,0,9.477742448330684,109.9,0.59765625,231.453125,0,1,1
batch_random_20x100_1024kb_r3_20260705T054629Z,random,20,100,2000,1024,cython,cython_random_100mb_uw1,3,49.263429767999696,40.59806654588939,0.4059806654588939,2000,2000,0,2097152000,2097152000,0,0.0,1.0,20,0,11.670204081632653,109.9,0.04296875,227.7265625,0,1,1
