batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_mixed_20x100_1024kb_r1_20260705T043933Z,mixed,20,100,2000,1024,sequential,sequential_mixed_100mb_uw2,1,39.435048170999835,50.71630675655625,0.5071630675655625,2000,1000,1000,2097152000,1048576000,1048576000,50.0,2.0,20,0,13.756521739130434,99.9,2.48046875,330.2265625,0,2,2
batch_mixed_20x100_1024kb_r2_20260705T044017Z,mixed,20,100,2000,1024,sequential,sequential_mixed_100mb_uw2,2,45.78740263100008,43.68013656764868,0.4368013656764868,2000,1000,1000,2097152000,1048576000,1048576000,50.0,2.0,20,0,13.774285714285714,100.9,0.41796875,237.796875,0,2,2
batch_mixed_20x100_1024kb_r3_20260705T044112Z,mixed,20,100,2000,1024,sequential,sequential_mixed_100mb_uw2,3,40.94184364800003,48.84977865665065,0.4884977865665065,2000,1000,1000,2097152000,1048576000,1048576000,50.0,2.0,20,0,14.74029484029484,108.0,0.05859375,237.96484375,0,2,2
