batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_modified_20x10_1024kb_r1_20260705T050946Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw1,1,7.909866744000283,25.28487602546555,2.528487602546555,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,8.6,40.0,0.8203125,60.5,0,1,1
batch_modified_20x10_1024kb_r2_20260705T050954Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw1,2,9.00118672699955,22.219292418419577,2.2219292418419574,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,8.316666666666666,49.9,0.25390625,65.859375,0,1,1
batch_modified_20x10_1024kb_r3_20260705T051004Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw1,3,6.964684577999833,28.71630405657759,2.871630405657759,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,9.83,49.9,0.02734375,66.0859375,0,1,1
batch_modified_20x10_1024kb_r4_20260705T051011Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw1,4,3.5300642189995415,56.656193086674826,5.665619308667483,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,18.580555555555556,59.8,19.90625,69.5390625,0,1,1
batch_modified_20x10_1024kb_r5_20260705T051015Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw1,5,3.505791896000119,57.048451800058935,5.7048451800058935,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,19.122857142857143,49.9,-19.890625,76.1328125,0,1,1
