batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_mixed_20x10_1024kb_r1_20260705T061759Z,mixed,20,10,200,1024,cython,cython_mixed_10mb_uw2,1,9.997077251999144,20.00584720499238,2.000584720499238,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,6.791,40.0,1.01171875,90.703125,0,2,2
batch_mixed_20x10_1024kb_r2_20260705T061810Z,mixed,20,10,200,1024,cython,cython_mixed_10mb_uw2,2,4.30337837299885,46.475113890723975,4.647511389072398,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,16.493023255813952,49.9,20.14453125,95.69140625,0,2,2
batch_mixed_20x10_1024kb_r3_20260705T061815Z,mixed,20,10,200,1024,cython,cython_mixed_10mb_uw2,3,5.774867333000657,34.632830239595954,3.4632830239595958,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,13.4,49.9,-19.8515625,95.91796875,0,2,2
batch_mixed_20x10_1024kb_r4_20260705T061821Z,mixed,20,10,200,1024,cython,cython_mixed_10mb_uw2,4,5.506144582999696,36.32305635734721,3.632305635734721,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,11.992727272727272,40.0,19.90234375,95.9453125,0,2,2
batch_mixed_20x10_1024kb_r5_20260705T061827Z,mixed,20,10,200,1024,cython,cython_mixed_10mb_uw2,5,8.650355820000186,23.12043621807868,2.312043621807868,200,100,100,209715200,104857600,104857600,50.0,2.0,20,0,8.732183908045977,40.0,-19.87109375,95.96484375,0,2,2
