batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_mixed_20x50_1024kb_r1_20260705T052447Z,mixed,20,50,1000,1024,numpy,numpy_mixed_50mb_uw1,1,21.764882387999933,45.94557334026073,0.9189114668052146,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,12.497695852534562,89.9,1.42578125,129.44140625,0,1,1
batch_mixed_20x50_1024kb_r2_20260705T052511Z,mixed,20,50,1000,1024,numpy,numpy_mixed_50mb_uw1,2,25.440161683999577,39.30792627898051,0.7861585255796102,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,12.055905511811023,99.9,0.38671875,118.02734375,0,1,1
batch_mixed_20x50_1024kb_r3_20260705T052540Z,mixed,20,50,1000,1024,numpy,numpy_mixed_50mb_uw1,3,25.519608829999925,39.18555361336246,0.7837110722672491,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,11.527952755905511,99.9,0.06640625,132.828125,0,1,1
batch_mixed_20x50_1024kb_r4_20260705T052608Z,mixed,20,50,1000,1024,numpy,numpy_mixed_50mb_uw1,4,26.543779159999758,37.673610602779334,0.7534722120555867,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,11.656060606060606,89.9,0.015625,129.0625,0,1,1
batch_mixed_20x50_1024kb_r5_20260705T052637Z,mixed,20,50,1000,1024,numpy,numpy_mixed_50mb_uw1,5,22.07514343299954,45.29981891329987,0.9059963782659974,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,13.314545454545454,89.9,0.03125,135.5859375,0,1,1
