batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_mixed_20x50_1024kb_r1_20260705T062156Z,mixed,20,50,1000,1024,cython,cython_mixed_50mb_uw2,1,19.393662536998818,51.56323608767664,1.031264721753533,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,13.144559585492228,89.9,1.54296875,130.49609375,0,2,2
batch_mixed_20x50_1024kb_r2_20260705T062218Z,mixed,20,50,1000,1024,cython,cython_mixed_50mb_uw2,2,24.40488893100155,40.97539648007572,0.8195079296015145,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,11.975720164609054,99.9,0.41015625,136.015625,0,2,2
batch_mixed_20x50_1024kb_r3_20260705T062245Z,mixed,20,50,1000,1024,cython,cython_mixed_50mb_uw2,3,33.39870163500018,29.941283674094976,0.5988256734818995,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,9.639039039039039,99.9,0.0546875,186.4140625,0,2,2
batch_mixed_20x50_1024kb_r4_20260705T062321Z,mixed,20,50,1000,1024,cython,cython_mixed_50mb_uw2,4,16.01816421299918,62.429126503052856,1.2485825300610571,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,18.279375,89.9,0.05859375,136.44921875,0,2,2
batch_mixed_20x50_1024kb_r5_20260705T062340Z,mixed,20,50,1000,1024,cython,cython_mixed_50mb_uw2,5,22.77296037600172,43.91172616511492,0.8782345233022983,1000,500,500,1048576000,524288000,524288000,50.0,2.0,20,0,12.898678414096917,89.9,0.01171875,136.51171875,0,2,2
