batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_repeated_20x10_1024kb_r1_20260705T055225Z,repeated,20,10,200,1024,cython,cython_repeated_10mb_uw2,1,7.397954685999139,27.034499194555256,2.7034499194555255,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,7.963513513513513,40.0,60.63671875,90.78125,0,2,2
batch_repeated_20x10_1024kb_r2_20260705T055233Z,repeated,20,10,200,1024,cython,cython_repeated_10mb_uw2,2,7.051521282999602,28.362674091642717,2.8362674091642717,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,8.280281690140844,40.0,20.3203125,95.9765625,0,2,2
batch_repeated_20x10_1024kb_r3_20260705T055240Z,repeated,20,10,200,1024,cython,cython_repeated_10mb_uw2,3,5.377293630001077,37.19343107546834,3.719343107546834,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,10.737037037037037,40.0,20.09375,96.015625,0,2,2
batch_repeated_20x10_1024kb_r4_20260705T055246Z,repeated,20,10,200,1024,cython,cython_repeated_10mb_uw2,4,9.202264724000997,21.73378032457245,2.173378032457245,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,7.592391304347826,39.9,20.08203125,96.03125,0,2,2
batch_repeated_20x10_1024kb_r5_20260705T055255Z,repeated,20,10,200,1024,cython,cython_repeated_10mb_uw2,5,5.782943530999546,34.58446359157708,3.458446359157708,200,1,199,209715200,1048576,208666624,99.5,200.0,20,0,11.372413793103448,40.0,20.06640625,96.0625,0,2,2
