batch_id,dataset_type,num_files,file_size_mb,total_input_mb,chunk_size_kb,backend,experiment,run_number,total_elapsed_seconds,batch_throughput_mb_s,files_per_second,total_chunks,total_unique_chunks,total_duplicate_chunks,total_bytes_original,total_bytes_stored,total_bytes_saved,storage_saving_pct,dedup_ratio,integrity_ok_count,integrity_failed_count,cpu_avg_pct,cpu_max_pct,ram_delta_mb,peak_memory_mb,ray_workers,upload_workers,concurrency
batch_modified_20x10_1024kb_r1_20260705T051052Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw2,1,7.597843069999726,26.323260188105888,2.6323260188105886,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,9.73157894736842,40.0,20.921875,100.55078125,0,2,2
batch_modified_20x10_1024kb_r2_20260705T051100Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw2,2,3.7225911180003095,53.72601869512744,5.372601869512744,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,16.83157894736842,40.0,0.37109375,95.70703125,0,2,2
batch_modified_20x10_1024kb_r3_20260705T051104Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw2,3,3.1182657319995997,64.13821565866013,6.413821565866012,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,19.978125,40.0,0.03515625,95.93359375,0,2,2
batch_modified_20x10_1024kb_r4_20260705T051107Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw2,4,3.1746894150001026,62.99828860581423,6.299828860581423,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,19.3625,40.0,0.0078125,96.0,0,2,2
batch_modified_20x10_1024kb_r5_20260705T051111Z,modified,20,10,200,1024,numpy,numpy_modified_10mb_uw2,5,3.287703323000642,60.832739560412264,6.083273956041226,200,5,195,209715200,5242880,204472320,97.5,40.0,20,0,20.242424242424242,40.0,0.00390625,96.00390625,0,2,2
